age,ethnicity,gender,location,personality,past_activities,occupation,social_media_use
20,Hispanic,Female,San Diego,Social,['Individual Sports'],Research,1
21,White,Male,Chicago,Relaxed,['Water Sports'],Student,2
25,Other,Female,San Francisco,Ambitious,['Water Sports'],Sales,2
30,Asian,Female,Houston,Ambitious,"['Individual Sports', 'Strength Training', 'Team Sports', 'Creative']",Retired,5
22,Other,Female,Chicago,Introverted,"['Video Games', 'Strength Training']",Student,3
23,Black,Female,San Francisco,Extroverted,"['Team Sports', 'Water Sports']",Production,4
23,Asian,Male,Chicago,Social,['Indoor Activites'],Client Relation/Support,3
29,Middle Eastern,Non-Binary,New York,Introverted,"['Creative', 'Outdoor', 'Dance']",Sales,2
32,Other,Non-Binary,Los Angeles,Extroverted,['Strength Training'],Legal Work,5
24,White,Male,San Francisco,Extroverted,"['Team Sports', 'Strength Training', 'Water Sports', 'Mind-Body']",Production,3
22,Black,Male,San Diego,Relaxed,"['Individual Sports', 'Mind-Body']",Student,1
29,White,Non-Binary,Chicago,Extroverted,['Water Sports'],Client Relation/Support,1
20,Other,Male,Phoenix,Social,"['Creative', 'Outdoor']",Student,1
23,Black,Male,Phoenix,Ambitious,"['Indoor Activites', 'Individual Sports', 'Outdoor']",Maintenance,1
18,Middle Eastern,Non-Binary,Los Angeles,Social,"['Outdoor', 'Team Sports', 'Dance']",Student,1
18,Mixed,Male,San Diego,Social,"['Creative', 'Strength Training', 'Outdoor', 'Individual Sports']",Student,5
32,Middle Eastern,Male,Los Angeles,Introverted,"['Team Sports', 'Individual Sports', 'Creative']",Office/Admin,4
23,Middle Eastern,Male,Austin,Social,['Mind-Body'],Environmental,4
20,Other,Female,Los Angeles,Introverted,['Water Sports'],Student,4
18,Middle Eastern,Non-Binary,San Diego,Social,"['Indoor Activites', 'Individual Sports', 'Mind-Body', 'Dance']",Student,3
18,Other,Non-Binary,San Francisco,Extroverted,"['Team Sports', 'Dance', 'Creative', 'Strength Training']",Student,3
25,White,Female,Phoenix,Extroverted,"['Water Sports', 'Dance', 'Team Sports', 'Indoor Activites']",Sales,1
23,Black,Male,New York,Social,"['Individual Sports', 'Mind-Body', 'Strength Training', 'Water Sports']",Environmental,3
29,Mixed,Female,Houston,Ambitious,['Outdoor'],Production,1
24,Middle Eastern,Female,New York,Social,"['Creative', 'Individual Sports', 'Video Games', 'Water Sports']",Education,3
27,Asian,Female,Chicago,Ambitious,"['Creative', 'Strength Training', 'Indoor Activites']",Technology,2
32,Middle Eastern,Non-Binary,Phoenix,Social,"['Strength Training', 'Video Games', 'Creative', 'Individual Sports']",Production,1
24,Black,Male,Chicago,Ambitious,['Outdoor'],Research,3
22,Hispanic,Female,Austin,Relaxed,"['Video Games', 'Dance', 'Outdoor']",Technology,5
25,Hispanic,Male,New York,Extroverted,['Creative'],Sales,5
35,Middle Eastern,Non-Binary,Houston,Extroverted,"['Mind-Body', 'Outdoor', 'Creative']",Technology,1
18,Other,Male,Chicago,Ambitious,"['Individual Sports', 'Mind-Body', 'Water Sports', 'Outdoor']",Student,3
28,Mixed,Non-Binary,San Diego,Extroverted,['Water Sports'],Education,5
24,Mixed,Female,San Diego,Extroverted,"['Strength Training', 'Individual Sports']",Environmental,5
26,Other,Male,Phoenix,Extroverted,"['Water Sports', 'Outdoor']",Education,4
27,Mixed,Male,Houston,Extroverted,"['Dance', 'Video Games']",Environmental,4
18,White,Female,San Francisco,Extroverted,['Water Sports'],Sales,1
23,White,Non-Binary,Chicago,Relaxed,"['Individual Sports', 'Creative', 'Indoor Activites']",Retired,5
25,Asian,Male,San Diego,Extroverted,['Strength Training'],Education,5
22,Black,Male,New York,Social,"['Video Games', 'Indoor Activites', 'Team Sports', 'Water Sports']",Legal Work,3
21,Other,Female,Los Angeles,Introverted,['Individual Sports'],Student,4
23,Black,Female,Los Angeles,Extroverted,"['Water Sports', 'Team Sports']",Client Relation/Support,3
23,Middle Eastern,Female,Houston,Extroverted,"['Water Sports', 'Dance', 'Creative', 'Indoor Activites']",Office/Admin,4
23,Other,Male,San Francisco,Extroverted,"['Water Sports', 'Strength Training', 'Outdoor']",Sales,5
19,Mixed,Male,Austin,Social,"['Creative', 'Team Sports', 'Dance']",Media,3
25,Middle Eastern,Male,San Diego,Introverted,"['Video Games', 'Outdoor']",Sales,2
23,Hispanic,Non-Binary,Chicago,Ambitious,['Dance'],Retired,5
21,Mixed,Female,New York,Extroverted,"['Team Sports', 'Dance', 'Strength Training', 'Mind-Body']",Student,4
25,Other,Female,Chicago,Ambitious,"['Indoor Activites', 'Creative']",HR,3
40,White,Female,San Diego,Introverted,['Indoor Activites'],Environmental,5
23,Mixed,Female,San Francisco,Social,"['Team Sports', 'Dance', 'Video Games', 'Creative']",Technology,1
23,Other,Male,Chicago,Relaxed,"['Dance', 'Individual Sports']",Maintenance,3
28,Other,Non-Binary,Houston,Relaxed,"['Creative', 'Indoor Activites', 'Team Sports']",Client Relation/Support,5
19,Black,Female,Houston,Extroverted,['Dance'],Student,2
18,White,Non-Binary,San Diego,Extroverted,['Individual Sports'],Student,5
32,White,Female,San Diego,Social,['Outdoor'],HR,4
25,Middle Eastern,Female,Phoenix,Relaxed,"['Video Games', 'Outdoor']",Retired,2
19,Black,Female,Austin,Social,"['Dance', 'Team Sports', 'Indoor Activites', 'Video Games']",Student,5
30,Black,Female,Los Angeles,Introverted,"['Creative', 'Individual Sports', 'Dance']",Research,5
20,Hispanic,Male,San Diego,Social,"['Team Sports', 'Individual Sports']",Student,2
21,Asian,Female,San Francisco,Ambitious,"['Creative', 'Dance', 'Individual Sports']",Student,1
22,White,Male,Los Angeles,Ambitious,"['Mind-Body', 'Individual Sports', 'Dance', 'Indoor Activites']",Student,4
25,Asian,Male,San Francisco,Extroverted,"['Dance', 'Strength Training', 'Creative', 'Outdoor']",Education,3
22,Hispanic,Non-Binary,Phoenix,Extroverted,"['Team Sports', 'Strength Training']",Student,1
23,Asian,Non-Binary,Chicago,Relaxed,"['Mind-Body', 'Dance', 'Creative']",Media,1
18,Mixed,Non-Binary,Houston,Social,"['Team Sports', 'Mind-Body', 'Individual Sports']",Student,3
19,Mixed,Female,Los Angeles,Extroverted,['Indoor Activites'],Student,4
25,Mixed,Female,Chicago,Extroverted,"['Mind-Body', 'Creative']",Environmental,2
18,Black,Male,Phoenix,Relaxed,"['Indoor Activites', 'Individual Sports', 'Dance']",Student,1
22,Asian,Female,Austin,Ambitious,"['Video Games', 'Outdoor', 'Indoor Activites', 'Individual Sports']",Student,2
25,White,Male,Los Angeles,Extroverted,['Dance'],Technology,3
25,White,Non-Binary,Austin,Extroverted,"['Indoor Activites', 'Mind-Body', 'Outdoor']",Research,5
20,Mixed,Non-Binary,San Francisco,Introverted,"['Team Sports', 'Indoor Activites']",Student,3
19,Other,Non-Binary,Chicago,Extroverted,"['Mind-Body', 'Video Games']",Student,1
29,Middle Eastern,Female,Chicago,Extroverted,"['Team Sports', 'Individual Sports', 'Dance']",Legal Work,3
29,Other,Male,Phoenix,Ambitious,"['Outdoor', 'Creative', 'Dance', 'Mind-Body']",Legal Work,1
19,Black,Male,Phoenix,Introverted,"['Video Games', 'Team Sports']",Student,1
25,Hispanic,Female,Chicago,Social,"['Team Sports', 'Dance', 'Strength Training', 'Outdoor']",Technology,1
20,Middle Eastern,Female,San Diego,Ambitious,"['Individual Sports', 'Water Sports']",Media,3
23,Black,Female,Los Angeles,Introverted,['Video Games'],Creative,2
19,Black,Male,Chicago,Extroverted,"['Individual Sports', 'Video Games', 'Outdoor', 'Water Sports']",Student,1
24,Middle Eastern,Male,Chicago,Ambitious,['Mind-Body'],Media,4
18,Hispanic,Female,New York,Ambitious,"['Dance', 'Strength Training', 'Creative', 'Individual Sports']",Creative,5
28,Asian,Male,San Diego,Extroverted,"['Outdoor', 'Creative']",Media,4
21,Other,Male,Houston,Relaxed,"['Outdoor', 'Strength Training']",Student,1
22,Mixed,Male,Los Angeles,Social,"['Dance', 'Outdoor', 'Individual Sports']",Student,4
20,Mixed,Female,Houston,Ambitious,"['Water Sports', 'Strength Training', 'Mind-Body', 'Outdoor']",Student,4
31,Other,Male,Houston,Social,"['Dance', 'Team Sports', 'Creative']",Technology,4
29,Other,Female,San Diego,Introverted,"['Team Sports', 'Individual Sports', 'Water Sports', 'Creative']",HR,5
23,Mixed,Male,Chicago,Introverted,"['Creative', 'Indoor Activites']",Office/Admin,2
24,White,Non-Binary,Los Angeles,Social,"['Outdoor', 'Creative']",Retired,3
24,Black,Female,Austin,Relaxed,"['Video Games', 'Team Sports', 'Dance', 'Water Sports']",Retired,3
28,Black,Female,Austin,Social,"['Strength Training', 'Indoor Activites']",Creative,5
21,Middle Eastern,Non-Binary,Austin,Social,"['Individual Sports', 'Team Sports', 'Indoor Activites']",Student,5
22,White,Female,San Francisco,Social,"['Dance', 'Individual Sports', 'Strength Training']",Research,3
22,Other,Male,New York,Relaxed,"['Water Sports', 'Indoor Activites']",Student,1
21,Hispanic,Female,Austin,Social,"['Outdoor', 'Water Sports', 'Creative']",Student,3
18,Hispanic,Female,Los Angeles,Ambitious,"['Mind-Body', 'Strength Training', 'Creative', 'Outdoor']",Student,4
21,Hispanic,Female,Los Angeles,Extroverted,"['Individual Sports', 'Indoor Activites', 'Mind-Body']",Student,5
30,Asian,Female,Chicago,Ambitious,"['Video Games', 'Individual Sports']",Media,1
28,Asian,Male,San Francisco,Relaxed,"['Team Sports', 'Creative', 'Outdoor', 'Dance']",HR,4
29,White,Male,New York,Extroverted,"['Water Sports', 'Creative']",Media,4
23,Asian,Non-Binary,Austin,Ambitious,"['Outdoor', 'Team Sports', 'Strength Training', 'Video Games']",Education,1
23,Mixed,Male,Chicago,Extroverted,"['Video Games', 'Creative', 'Individual Sports', 'Indoor Activites']",Legal Work,1
29,Mixed,Female,Austin,Extroverted,"['Video Games', 'Team Sports', 'Strength Training']",Production,4
30,Black,Non-Binary,Phoenix,Relaxed,"['Indoor Activites', 'Video Games']",Technology,4
36,Other,Female,San Diego,Social,"['Team Sports', 'Creative', 'Dance']",Creative,2
29,White,Non-Binary,Austin,Social,['Indoor Activites'],Media,4
24,Hispanic,Female,Austin,Extroverted,['Individual Sports'],Media,4
30,Mixed,Male,New York,Ambitious,"['Indoor Activites', 'Individual Sports']",Client Relation/Support,5
27,Asian,Non-Binary,Chicago,Extroverted,"['Outdoor', 'Video Games', 'Water Sports']",Environmental,1
23,Hispanic,Female,Phoenix,Relaxed,"['Strength Training', 'Creative']",Production,2
22,Mixed,Female,Houston,Social,['Outdoor'],Student,3
22,Asian,Female,Phoenix,Extroverted,"['Water Sports', 'Team Sports', 'Strength Training', 'Creative']",Student,2
20,Black,Non-Binary,New York,Extroverted,"['Creative', 'Outdoor']",Environmental,5
33,Other,Male,Houston,Social,"['Individual Sports', 'Water Sports']",Research,5
21,Asian,Female,Austin,Relaxed,"['Outdoor', 'Individual Sports', 'Mind-Body']",Student,5
23,Hispanic,Female,Phoenix,Social,"['Indoor Activites', 'Individual Sports']",Healthcare,3
21,Asian,Male,San Francisco,Introverted,"['Strength Training', 'Creative']",Student,1
23,Asian,Female,New York,Ambitious,['Water Sports'],Education,2
25,Middle Eastern,Non-Binary,Austin,Ambitious,"['Creative', 'Indoor Activites', 'Mind-Body']",Legal Work,1
23,Black,Non-Binary,San Diego,Social,"['Water Sports', 'Creative']",Environmental,1
22,Middle Eastern,Male,Los Angeles,Social,"['Individual Sports', 'Dance', 'Water Sports', 'Outdoor']",Student,4
22,Black,Male,New York,Extroverted,['Water Sports'],Student,1
23,Hispanic,Male,Houston,Relaxed,"['Creative', 'Video Games', 'Outdoor']",Client Relation/Support,3
29,Mixed,Non-Binary,Chicago,Relaxed,"['Indoor Activites', 'Water Sports', 'Team Sports']",Research,1
20,Mixed,Non-Binary,Chicago,Extroverted,"['Outdoor', 'Strength Training', 'Team Sports']",Client Relation/Support,5
19,White,Male,Houston,Introverted,"['Video Games', 'Water Sports', 'Strength Training']",Environmental,1
21,Hispanic,Female,New York,Introverted,"['Outdoor', 'Strength Training', 'Mind-Body']",Student,2
28,White,Female,San Diego,Extroverted,"['Creative', 'Indoor Activites', 'Individual Sports', 'Mind-Body']",Media,5
28,White,Male,New York,Social,"['Creative', 'Indoor Activites', 'Dance', 'Team Sports']",Retired,3
35,Hispanic,Male,Houston,Ambitious,"['Strength Training', 'Video Games', 'Dance']",Environmental,2
37,Asian,Female,Austin,Extroverted,"['Video Games', 'Indoor Activites', 'Strength Training', 'Dance']",Technology,5
20,Middle Eastern,Non-Binary,San Francisco,Social,"['Dance', 'Team Sports']",Student,3
22,Black,Male,Austin,Ambitious,"['Team Sports', 'Strength Training']",Student,4
21,Middle Eastern,Female,Austin,Extroverted,"['Strength Training', 'Dance', 'Outdoor']",Maintenance,2
22,Other,Male,Austin,Ambitious,"['Water Sports', 'Video Games', 'Dance', 'Indoor Activites']",Student,4
18,Middle Eastern,Male,Chicago,Introverted,"['Video Games', 'Outdoor', 'Individual Sports']",Student,3
22,Other,Female,Los Angeles,Extroverted,"['Strength Training', 'Team Sports']",Student,1
18,Asian,Male,San Francisco,Social,"['Video Games', 'Individual Sports']",Student,3
27,Asian,Male,Phoenix,Social,['Outdoor'],Sales,3
19,Middle Eastern,Female,San Francisco,Extroverted,"['Dance', 'Team Sports', 'Strength Training', 'Mind-Body']",Student,3
29,Black,Male,Chicago,Extroverted,['Mind-Body'],Office/Admin,5
37,Middle Eastern,Male,Chicago,Extroverted,"['Team Sports', 'Water Sports']",Media,4
23,White,Female,Austin,Introverted,['Mind-Body'],Maintenance,4
23,Hispanic,Male,San Diego,Extroverted,['Water Sports'],Healthcare,5
23,Middle Eastern,Male,Austin,Relaxed,"['Dance', 'Creative', 'Team Sports', 'Video Games']",Client Relation/Support,2
28,White,Male,Los Angeles,Relaxed,"['Outdoor', 'Individual Sports', 'Video Games']",Environmental,4
24,Hispanic,Male,Los Angeles,Introverted,"['Water Sports', 'Video Games', 'Outdoor', 'Mind-Body']",Sales,2
20,Hispanic,Male,Los Angeles,Social,"['Team Sports', 'Dance']",Student,3
30,Mixed,Female,Los Angeles,Relaxed,"['Outdoor', 'Video Games', 'Water Sports', 'Team Sports']",Maintenance,2
19,White,Female,Phoenix,Social,"['Indoor Activites', 'Team Sports', 'Creative']",Sales,4
24,Middle Eastern,Female,Austin,Social,"['Mind-Body', 'Individual Sports']",Creative,1
24,White,Female,Los Angeles,Social,['Water Sports'],Technology,1
40,Other,Non-Binary,San Diego,Introverted,"['Dance', 'Indoor Activites']",Sales,5
20,Black,Female,Phoenix,Introverted,['Indoor Activites'],Student,3
24,Middle Eastern,Non-Binary,Los Angeles,Social,['Mind-Body'],HR,4
22,White,Male,Houston,Relaxed,['Strength Training'],Student,1
24,Asian,Non-Binary,Phoenix,Introverted,"['Team Sports', 'Creative']",Media,3
31,White,Female,New York,Social,"['Video Games', 'Indoor Activites']",Production,2
22,Black,Non-Binary,Austin,Extroverted,"['Team Sports', 'Outdoor']",Student,5
22,Mixed,Male,Phoenix,Relaxed,['Water Sports'],Student,5
23,White,Male,Chicago,Relaxed,"['Individual Sports', 'Strength Training', 'Creative']",Technology,4
27,Black,Male,Houston,Extroverted,"['Dance', 'Outdoor', 'Team Sports', 'Individual Sports']",Sales,5
38,Other,Male,New York,Ambitious,['Strength Training'],Office/Admin,4
22,Asian,Female,Chicago,Introverted,['Video Games'],Student,5
20,Asian,Female,Houston,Relaxed,"['Strength Training', 'Video Games']",Healthcare,1
22,White,Male,New York,Extroverted,"['Outdoor', 'Dance', 'Individual Sports', 'Team Sports']",Student,5
23,Hispanic,Female,Chicago,Extroverted,"['Outdoor', 'Water Sports', 'Team Sports']",Office/Admin,4
24,Mixed,Non-Binary,Phoenix,Extroverted,['Indoor Activites'],HR,2
32,Hispanic,Male,Los Angeles,Extroverted,['Video Games'],Healthcare,5
19,Hispanic,Female,San Francisco,Social,"['Dance', 'Strength Training', 'Video Games', 'Individual Sports']",Student,3
30,Asian,Male,San Diego,Extroverted,['Dance'],Technology,4
22,Black,Male,San Diego,Ambitious,"['Team Sports', 'Outdoor', 'Strength Training', 'Creative']",Student,4
18,Asian,Non-Binary,Austin,Extroverted,"['Team Sports', 'Mind-Body', 'Video Games', 'Individual Sports']",Student,5
31,Mixed,Male,Austin,Extroverted,['Video Games'],Research,5
23,Black,Male,New York,Relaxed,"['Team Sports', 'Outdoor']",Sales,1
19,White,Male,San Diego,Extroverted,"['Water Sports', 'Mind-Body']",Student,5
25,Black,Female,Los Angeles,Relaxed,"['Strength Training', 'Team Sports']",HR,1
25,Asian,Male,Chicago,Social,"['Mind-Body', 'Water Sports', 'Creative', 'Video Games']",Technology,3
20,Black,Non-Binary,New York,Extroverted,"['Creative', 'Mind-Body', 'Outdoor']",Maintenance,5
22,Middle Eastern,Non-Binary,Los Angeles,Social,"['Mind-Body', 'Video Games', 'Outdoor', 'Dance']",Student,3
29,Black,Male,Chicago,Relaxed,"['Dance', 'Individual Sports', 'Water Sports']",Technology,5
24,Hispanic,Female,Austin,Introverted,"['Individual Sports', 'Strength Training', 'Dance', 'Water Sports']",Creative,5
24,White,Male,San Francisco,Social,"['Strength Training', 'Video Games']",Media,1
20,Asian,Male,San Diego,Ambitious,['Individual Sports'],Student,3
36,Hispanic,Female,Houston,Relaxed,['Strength Training'],Healthcare,4
28,Asian,Male,San Diego,Ambitious,['Mind-Body'],Technology,2
20,Black,Female,San Diego,Extroverted,"['Team Sports', 'Strength Training', 'Creative']",Student,3
20,Hispanic,Male,New York,Extroverted,"['Individual Sports', 'Video Games', 'Strength Training', 'Outdoor']",Student,3
29,Black,Female,Austin,Extroverted,['Indoor Activites'],Maintenance,2
20,Hispanic,Female,Phoenix,Relaxed,"['Strength Training', 'Indoor Activites', 'Team Sports', 'Dance']",Student,4
19,Mixed,Non-Binary,San Francisco,Social,['Indoor Activites'],Creative,3
18,Middle Eastern,Female,Chicago,Extroverted,"['Strength Training', 'Water Sports', 'Outdoor']",Healthcare,2
19,Middle Eastern,Female,San Francisco,Extroverted,"['Outdoor', 'Strength Training']",Student,3
19,Black,Male,San Diego,Extroverted,"['Strength Training', 'Water Sports']",Client Relation/Support,4
25,Black,Female,Phoenix,Extroverted,"['Outdoor', 'Dance', 'Video Games', 'Mind-Body']",Research,5
32,Black,Female,Houston,Relaxed,['Video Games'],Media,1
18,Middle Eastern,Male,Houston,Extroverted,"['Indoor Activites', 'Creative']",Student,3
20,Asian,Male,Chicago,Social,['Water Sports'],Student,3
26,Other,Female,Phoenix,Relaxed,"['Strength Training', 'Team Sports']",HR,4
22,Middle Eastern,Non-Binary,Los Angeles,Extroverted,"['Individual Sports', 'Team Sports']",Student,1
29,White,Non-Binary,Houston,Extroverted,"['Dance', 'Strength Training']",Retired,2
34,Hispanic,Female,San Francisco,Extroverted,['Strength Training'],Environmental,5
23,Hispanic,Non-Binary,Phoenix,Social,['Water Sports'],Technology,1
20,Hispanic,Female,New York,Extroverted,"['Dance', 'Indoor Activites', 'Creative']",Student,2
23,Other,Female,New York,Relaxed,"['Team Sports', 'Dance', 'Water Sports']",Creative,3
21,Other,Female,San Diego,Ambitious,"['Water Sports', 'Strength Training', 'Dance', 'Video Games']",Student,5
34,Black,Male,New York,Social,"['Strength Training', 'Outdoor']",Sales,5
24,Other,Male,Austin,Social,"['Strength Training', 'Individual Sports', 'Creative']",Research,5
24,Hispanic,Female,Houston,Introverted,"['Video Games', 'Water Sports']",Maintenance,5
28,Middle Eastern,Female,Los Angeles,Extroverted,"['Team Sports', 'Mind-Body', 'Indoor Activites', 'Video Games']",Sales,3
25,Black,Male,Austin,Social,"['Creative', 'Outdoor', 'Dance', 'Individual Sports']",Education,2
38,Hispanic,Female,Los Angeles,Introverted,"['Indoor Activites', 'Video Games']",Client Relation/Support,1
23,Middle Eastern,Male,Phoenix,Ambitious,"['Outdoor', 'Creative', 'Team Sports']",HR,1
23,Hispanic,Male,Austin,Social,"['Dance', 'Outdoor']",Research,5
38,White,Non-Binary,Chicago,Social,"['Mind-Body', 'Strength Training']",Environmental,4
29,Other,Male,Chicago,Social,"['Outdoor', 'Water Sports']",Healthcare,5
25,Asian,Male,San Diego,Relaxed,"['Individual Sports', 'Strength Training', 'Team Sports']",Environmental,4
25,Mixed,Male,Phoenix,Relaxed,"['Strength Training', 'Creative', 'Water Sports']",Education,5
24,Asian,Male,San Diego,Ambitious,"['Video Games', 'Creative', 'Strength Training', 'Individual Sports']",Technology,5
18,Hispanic,Male,Chicago,Extroverted,['Team Sports'],Sales,5
19,Hispanic,Male,Austin,Introverted,['Strength Training'],Student,3
20,Mixed,Male,Austin,Social,"['Water Sports', 'Indoor Activites', 'Strength Training']",Student,3
20,Asian,Non-Binary,Chicago,Extroverted,"['Creative', 'Team Sports', 'Indoor Activites', 'Water Sports']",HR,4
24,Other,Female,Austin,Social,"['Creative', 'Team Sports']",Production,3
21,White,Male,Los Angeles,Extroverted,"['Creative', 'Video Games', 'Individual Sports']",Student,5
24,White,Female,New York,Extroverted,"['Outdoor', 'Indoor Activites']",Client Relation/Support,4
34,Middle Eastern,Female,Houston,Social,"['Team Sports', 'Individual Sports', 'Water Sports', 'Video Games']",Media,2
23,Middle Eastern,Female,Phoenix,Social,"['Dance', 'Outdoor', 'Strength Training']",Client Relation/Support,1
20,Middle Eastern,Female,Houston,Introverted,"['Individual Sports', 'Outdoor', 'Creative']",Student,5
21,Other,Female,San Francisco,Relaxed,"['Dance', 'Creative', 'Mind-Body', 'Individual Sports']",Student,5
19,Middle Eastern,Female,Phoenix,Ambitious,"['Mind-Body', 'Team Sports', 'Water Sports']",Student,2
21,Hispanic,Female,Phoenix,Social,['Video Games'],Student,3
25,Middle Eastern,Male,Phoenix,Relaxed,"['Video Games', 'Indoor Activites', 'Team Sports']",Education,2
24,Black,Non-Binary,Phoenix,Extroverted,['Outdoor'],Media,1
22,Other,Female,Chicago,Extroverted,"['Video Games', 'Team Sports', 'Water Sports']",Student,2
27,Black,Non-Binary,Los Angeles,Ambitious,"['Water Sports', 'Video Games', 'Creative', 'Indoor Activites']",Media,4
25,Asian,Female,Phoenix,Introverted,"['Creative', 'Indoor Activites', 'Dance', 'Individual Sports']",HR,1
25,Other,Male,San Diego,Social,"['Indoor Activites', 'Creative', 'Individual Sports', 'Video Games']",Legal Work,4
19,Hispanic,Non-Binary,New York,Social,"['Indoor Activites', 'Strength Training', 'Creative']",Student,2
24,Middle Eastern,Male,Houston,Introverted,"['Outdoor', 'Team Sports', 'Strength Training', 'Video Games']",Office/Admin,2
27,Mixed,Male,Los Angeles,Extroverted,['Water Sports'],Research,5
24,Black,Female,Austin,Social,"['Video Games', 'Creative', 'Strength Training']",Retired,5
23,Hispanic,Female,Chicago,Extroverted,"['Dance', 'Outdoor', 'Water Sports', 'Team Sports']",Client Relation/Support,4
25,Black,Female,Chicago,Extroverted,['Team Sports'],Media,4
20,Middle Eastern,Female,San Francisco,Introverted,"['Water Sports', 'Video Games', 'Mind-Body']",Creative,3
21,White,Male,San Diego,Extroverted,['Indoor Activites'],Student,5
23,Hispanic,Non-Binary,Houston,Ambitious,['Mind-Body'],Sales,5
21,Middle Eastern,Female,Phoenix,Extroverted,"['Dance', 'Strength Training', 'Outdoor', 'Creative']",Student,3
24,Black,Male,New York,Social,['Water Sports'],Technology,4
19,Mixed,Non-Binary,Los Angeles,Extroverted,['Mind-Body'],Student,1
25,Black,Male,Austin,Social,['Indoor Activites'],Healthcare,2
26,Other,Female,San Francisco,Introverted,"['Strength Training', 'Team Sports', 'Individual Sports', 'Indoor Activites']",Research,4
23,Other,Male,Chicago,Relaxed,"['Strength Training', 'Indoor Activites']",Environmental,5
32,Mixed,Male,Austin,Relaxed,"['Team Sports', 'Outdoor', 'Mind-Body', 'Video Games']",Office/Admin,4
24,Middle Eastern,Female,Austin,Social,"['Outdoor', 'Mind-Body']",Production,3
23,Hispanic,Female,San Francisco,Extroverted,['Dance'],Retired,2
20,Asian,Female,San Diego,Ambitious,['Mind-Body'],Student,2
25,Middle Eastern,Female,Houston,Ambitious,"['Creative', 'Team Sports', 'Video Games']",Environmental,3
40,Asian,Female,Los Angeles,Extroverted,"['Water Sports', 'Team Sports', 'Individual Sports']",Education,2
33,Asian,Non-Binary,Houston,Extroverted,"['Individual Sports', 'Mind-Body', 'Strength Training', 'Water Sports']",Sales,5
25,Middle Eastern,Non-Binary,San Francisco,Social,"['Video Games', 'Water Sports', 'Team Sports', 'Strength Training']",Media,2
20,White,Female,San Diego,Extroverted,"['Creative', 'Strength Training', 'Water Sports']",Research,5
26,Other,Male,Houston,Social,"['Strength Training', 'Creative', 'Team Sports', 'Water Sports']",Client Relation/Support,4
19,Hispanic,Male,Houston,Social,"['Individual Sports', 'Mind-Body']",Student,5
33,Mixed,Female,Chicago,Relaxed,"['Water Sports', 'Outdoor']",Environmental,1
25,Mixed,Male,Houston,Relaxed,"['Video Games', 'Individual Sports']",Retired,3
25,White,Female,Chicago,Social,"['Outdoor', 'Dance']",Research,3
20,White,Male,Phoenix,Ambitious,"['Strength Training', 'Team Sports', 'Water Sports', 'Individual Sports']",Student,3
21,White,Non-Binary,Austin,Extroverted,['Mind-Body'],Creative,5
20,Mixed,Male,San Francisco,Extroverted,['Strength Training'],Student,1
24,Black,Female,Chicago,Introverted,['Strength Training'],Media,5
25,White,Female,Los Angeles,Extroverted,"['Creative', 'Water Sports', 'Strength Training']",Sales,1
28,Middle Eastern,Non-Binary,Houston,Relaxed,"['Creative', 'Team Sports', 'Dance', 'Video Games']",Sales,2
24,Mixed,Non-Binary,Houston,Social,['Dance'],Research,4
38,Mixed,Male,New York,Relaxed,"['Dance', 'Individual Sports', 'Outdoor', 'Water Sports']",Client Relation/Support,4
23,Mixed,Female,Austin,Social,"['Strength Training', 'Individual Sports', 'Team Sports', 'Indoor Activites']",Maintenance,3
27,Black,Female,New York,Introverted,"['Dance', 'Outdoor']",Office/Admin,3
25,Asian,Female,Houston,Social,"['Indoor Activites', 'Outdoor', 'Strength Training', 'Video Games']",Media,3
23,Hispanic,Female,San Francisco,Relaxed,"['Dance', 'Creative', 'Indoor Activites']",Healthcare,4
20,Black,Female,Houston,Extroverted,"['Individual Sports', 'Water Sports', 'Creative']",Student,4
34,White,Non-Binary,Chicago,Social,"['Team Sports', 'Individual Sports', 'Strength Training', 'Indoor Activites']",Client Relation/Support,4
29,Asian,Female,San Diego,Social,"['Video Games', 'Mind-Body', 'Indoor Activites', 'Creative']",Education,2
24,Hispanic,Female,Austin,Social,"['Individual Sports', 'Creative', 'Team Sports']",Research,1
22,Black,Female,San Diego,Extroverted,"['Creative', 'Video Games']",Student,3
34,Black,Male,Chicago,Ambitious,"['Video Games', 'Team Sports']",Environmental,3
23,Asian,Female,Phoenix,Social,"['Strength Training', 'Individual Sports', 'Mind-Body']",Education,4
19,Asian,Male,Los Angeles,Extroverted,"['Indoor Activites', 'Video Games', 'Water Sports', 'Creative']",Student,3
19,White,Male,New York,Relaxed,"['Outdoor', 'Water Sports', 'Indoor Activites']",Media,4
25,Asian,Male,San Diego,Ambitious,['Individual Sports'],Education,5
23,White,Male,Houston,Relaxed,"['Individual Sports', 'Video Games', 'Creative']",Healthcare,2
25,Black,Male,Los Angeles,Social,['Water Sports'],Technology,5
21,Middle Eastern,Male,Austin,Relaxed,"['Strength Training', 'Creative', 'Dance']",Student,3
26,Mixed,Female,New York,Introverted,"['Video Games', 'Outdoor', 'Indoor Activites', 'Strength Training']",Technology,1
20,Mixed,Female,Houston,Introverted,['Team Sports'],Student,2
19,Other,Male,San Diego,Social,"['Team Sports', 'Mind-Body', 'Dance']",Technology,2
18,Other,Male,Chicago,Introverted,"['Water Sports', 'Team Sports', 'Individual Sports', 'Dance']",Student,1
